config,week,n,auc,rank_ic
A,2025-04-17/2025-04-23,168,0.5659934575451573,0.11523384690060809
A,2025-04-24/2025-04-30,168,0.494910394265233,-0.008764866027732538
A,2025-05-01/2025-05-07,168,0.5973068745570516,0.1685317060742965
A,2025-05-08/2025-05-14,168,0.5460479636724848,0.07970804367601554
A,2025-05-15/2025-05-21,168,0.5196232339089483,0.03387113863124863
A,2025-05-22/2025-05-28,168,0.5421875,0.07299280270161054
A,2025-05-29/2025-06-04,168,0.5414592518845115,0.07168918959222312
A,2025-06-05/2025-06-11,168,0.426994301994302,-0.126221738974261
A,2025-06-12/2025-06-18,168,0.5292564578278864,0.050514388304595564
A,2025-06-19/2025-06-25,168,0.5309000708717222,0.054672384906616495
A,2025-06-26/2025-07-02,168,0.5267148526077098,0.04716093853823968
A,2025-07-03/2025-07-09,168,0.5758071398094154,0.13111580024942154
A,2025-07-10/2025-07-16,168,0.5433948863636364,0.07507825930838995
A,2025-07-17/2025-07-23,168,0.5099971639251276,0.017311004732608964
A,2025-07-24/2025-07-30,168,0.6075832742735648,0.18633757469524345
A,2025-07-31/2025-08-06,168,0.5742991990846681,0.12811037997411628
A,2025-08-07/2025-08-13,168,0.4928642785785643,-0.012316691960116677
A,2025-08-14/2025-08-20,168,0.5359048305695747,0.0616550985911117
A,2025-08-21/2025-08-27,168,0.4811401020986954,-0.03265761947084102
A,2025-08-28/2025-09-03,168,0.5377037562012756,0.06530151572412474
A,2025-09-04/2025-09-10,168,0.5470967741935483,0.08110628349981552
A,2025-09-11/2025-09-17,168,0.5569099929128277,0.09863005809437507
A,2025-09-18/2025-09-24,168,0.5708008504606662,0.1226241524515285
A,2025-09-25/2025-10-01,168,0.4653175057208238,-0.05979992204435419
A,2025-10-02/2025-10-08,168,0.5084915084915085,0.014656900527393761
A,2025-10-09/2025-10-15,135,0.4902272727272727,-0.016635780962097
A,2025-10-16/2025-10-22,168,0.536144578313253,0.06261355763932105
A,2025-10-23/2025-10-29,168,0.5616555255297966,0.10728207880594981
A,2025-10-30/2025-11-05,168,0.53734410430839,0.06468724771129471
A,2025-11-06/2025-11-12,168,0.5429260678302824,0.0743471161752511
A,2025-11-13/2025-11-19,168,0.5508776937348366,0.0878179025475607
A,2025-11-20/2025-11-26,168,0.5393505388542257,0.06813931985937997
A,2025-11-27/2025-12-03,168,0.5632151029748282,0.10899725000875762
A,2025-12-04/2025-12-10,168,0.541507024265645,0.0718485471672776
A,2025-12-11/2025-12-17,168,0.625354509359047,0.21706349781493148
A,2025-12-18/2025-12-24,168,0.5735795454545454,0.127302801497212
A,2025-12-25/2025-12-31,168,0.551169383416017,0.08862342955187247
A,2026-01-01/2026-01-07,168,0.5834162992461954,0.14422773305699146
A,2026-01-08/2026-01-14,168,0.5504112308564946,0.0872916621623048
A,2026-01-15/2026-01-21,168,0.5045051487414188,0.007767829840193096
A,2026-01-22/2026-01-28,168,0.5994749538810841,0.17218946080326103
A,2026-01-29/2026-02-04,168,0.548755787037037,0.08358309434657216
A,2026-02-05/2026-02-11,168,0.4909090909090909,-0.015728352327166517
A,2026-02-12/2026-02-18,168,0.5486386840612593,0.08422265481717957
A,2026-02-19/2026-02-25,168,0.4771725216896601,-0.03946974460320456
A,2026-02-26/2026-03-04,168,0.5177888022678951,0.030810037068330662
A,2026-03-05/2026-03-11,168,0.5866809116809116,0.14975547547502444
A,2026-03-12/2026-03-18,168,0.4653917511060368,-0.05973890431943537
A,2026-03-19/2026-03-25,168,0.5235294117647058,0.04076646916372531
A,2026-03-26/2026-04-01,168,0.5402698863636365,0.06967821082577894
A,2026-04-02/2026-04-08,168,0.5148121899362154,0.02580412311378354
A,2026-04-09/2026-04-15,168,0.5907738095238095,0.15722783443125937
A,2026-04-16/2026-04-22,168,0.5145451965375337,0.02517777566982867
A,2026-04-23/2026-04-29,168,0.6097630197247056,0.18999937117942278
A,2026-04-30/2026-05-06,168,0.517015140591204,0.02921828221032865
A,2026-05-07/2026-05-13,168,0.5311079545454546,0.05382048967270327
A,2026-05-14/2026-05-20,168,0.5429260678302825,0.07430439059423724
A,2026-05-21/2026-05-27,168,0.5605113636363636,0.1046962835647329
A,2026-05-28/2026-06-03,168,0.4917337550316274,-0.014216295301030527
A,2026-06-04/2026-06-10,168,0.5391378332387975,0.06777125649399707
A,2026-06-11/2026-06-17,168,0.5796228020419739,0.13787504480611437
A,2026-06-18/2026-06-24,168,0.5536907978950364,0.09283435163929005
A,2026-06-25/2026-07-01,168,0.534766567333617,0.06018022513603116
